"Source:","/home/josh/Documents/Kicad Projects/Senior Design/VCO/VCO.kicad_sch"
"Date:","Tue 28 Feb 2023 02:08:49 PM CST"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C1","30p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C2","2.2n","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C3","1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C4","1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C5","1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C6","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C7","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C8","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C9","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C10","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C11","47u","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","","","","","","","",""
"","","C12","47u","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","","","","","","","",""
"","","C13","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C14","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C15","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","C16","0.1u","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","",""
"","","D1","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","","","","","","","","",""
"","","D2","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","","","","","","","","",""
"","","D3","1N4148","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","","","","","","","","",""
"","","D4","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","",""
"","","D5","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","",""
"","","IC1","300P14-U","300P14-U:300P14-U","Package_DIP:DIP-14_W7.62mm","","","","","","","","","",""
"","","J1","Eurorack 10 DIP Header","Connector_Generic:Conn_02x05_Odd_Even","Custom_Footprints:Eurorack_10_pin_header","~","","","","","","","","",""
"","","J2","FM","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J3","CV","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J4","PWM","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J5","Triangle","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J6","Saw","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J7","Pulse","Connector:AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","","","","","",""
"","","J8","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"","","J9","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"","","J10","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","","","","",""
"","","J11","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","",""
"","","R1","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R2","1.87k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R3","1Meg","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R4","500","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R5","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R6","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R7","1Meg","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R8","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R9","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R10","33k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R11","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R12","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R13","68k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R14","47k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R15","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R16","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R17","14k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R18","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R19","68k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R20","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R21","200k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R22","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R23","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R24","20k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R25","200k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R26","1Meg","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R27","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R28","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R29","10","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R30","10","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R31","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R32","10k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R33","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","RV1","100K","Device:R_Potentiometer_US","Custom_Footprints:Alpha_9mm_Potentiometer_Aligned","~","","","","","","","","",""
